Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Maarit J. Käpylä,"['Max Planck Institute for Solar System Research', 'Sun and Heliosphere/SOLSTAR', 'Justus-von-Liebig-Weg 3', '37077 Göttingen', 'Germany']"
Markku J. Lainela,['Finland ']
Kimmo K. Lehtinen,"['University of Helsinki', 'Astronomy Dept Observatory', 'Tähtitorninmäki', 'PO Box 14', '00014 Helsinki', 'Finland']"
Kari J. Nilsson,"['University of Turku', 'Finnish Centre for Astronomy with ESO (FINCA)', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Silja H. Pohjolainen,"['University of Turku', 'Depart of Physics and Astronomy', 'Vesilinnantie 5', '20014 Turun yliopisto', 'Finland']"
Merja T. Tornikoski,"['Aalto University', 'Metsahovi Radio Observatory', 'Metsahovintie 114', '02540 Kylmala', 'Finland']"
Anthony J. Banday,"['Institut de Recherche en Astrophysique et Planétologie', '9, av du Colonel Roche', 'BP 44346', '31028 Cedex 4 Toulouse', 'France']"
Silke H. Britzen,"['Max-Planck-Institut für Radioastronomie', 'Auf dem Hügel 69', '53121 Bonn', 'Germany']"
Jo H. Bruls,"['Kiepenheuer-Institut fuer Sonnenphysik', 'Schoeneckstr 6', '79104 Freiburg Breisgau', 'Germany']"
Jochen Eisloeffel,"['Thueringer Landessternwarte', 'Sternwarte 5', '07778 Tantenburg', 'Germany']"
Heino D. Falcke,"['--', 'Netherlands']"
Horst Fichtner,"['Ruhr-Universitaet Bochum', 'Institut fuer Theoretische Physik IV', 'Universitätstr 150', '44780 Bochum', 'Germany']"
Ulrich R.M.E. Geppert,"['Astrophysical Inst Potsdam', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Eva K. Grebel,"['Astronomisches Rechen-Institut', 'Zentrum für Astronomie der Universität Heidelberg', 'Mönchhofstr. 12-14', 'Heidelberg University', '69120 Heidelberg', 'Germany']"
